interval_s,mean_rv,n_days
5,0.00007434710444380335,53
10,0.00006892503387209858,53
30,0.00006363766642711387,53
60,0.00005938589627826103,53
120,0.00005542121634443699,53
300,0.000055067331457288584,53
600,0.00005300724885192857,53
1200,0.00004902557677371628,53
1800,0.000047947254298276535,53
